index,max_depth_cape,max_depth_frolic,max_depth_graz,max_depth_klaxon,max_depth_mahdism,max_depth_ochre,max_depth_pen,max_depth_portion,max_depth_scrub,max_depth_turning,status_cape,status_frolic,status_graz,status_klaxon,status_mahdism,status_ochre,status_pen,status_portion,status_scrub,status_turning,time_cape,time_frolic,time_graz,time_klaxon,time_mahdism,time_ochre,time_pen,time_portion,time_scrub,time_turning
s_split_11.smt2,,,7.0,,,,5.0,7.0,5.0,,timeout,timeout,unsat,timeout,timeout,timeout,unsat,unsat,unsat,timeout,299.98,299.98,0.65,299.98,299.98,299.98,0.17,0.68,0.22,299.98
s_split_12.smt2,42.0,19.0,2.0,19.0,42.0,42.0,2.0,2.0,2.0,42.0,unsat,unsat,sat,unsat,unsat,unsat,sat,sat,sat,unsat,5.51,1.02,0.03,1.06,5.68,5.53,0.03,0.03,0.02,5.53
s_split_13.smt2,6.0,4.0,7.0,4.0,6.0,6.0,7.0,7.0,7.0,6.0,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,0.28,0.12,0.5,0.12,0.25,0.29,0.5,0.48,0.46,0.25
s_split_14.smt2,26.0,,26.0,,,,,26.0,,26.0,sat,timeout,sat,timeout,timeout,timeout,timeout,sat,timeout,sat,54.28,299.99,54.23,299.98,299.99,299.98,299.98,55.08,299.99,55.93
s_split_15.smt2,,,,,,,,,,,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,299.98,299.99,299.99,299.98,299.99,299.98,299.99,299.98,299.98,299.99
s_split_16.smt2,2.0,,2.0,,,,2.0,2.0,2.0,2.0,sat,timeout,sat,timeout,timeout,timeout,sat,sat,sat,sat,0.03,299.99,0.03,299.98,299.99,299.96,0.03,0.02,0.03,0.02
s_split_17.smt2,8.0,8.0,5.0,8.0,8.0,8.0,5.0,5.0,5.0,8.0,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,0.14,0.1,0.06,0.13,0.11,0.14,0.06,0.05,0.04,0.1
s_split_18.smt2,10.0,10.0,2.0,10.0,10.0,10.0,2.0,2.0,2.0,10.0,unsat,unsat,sat,unsat,unsat,unsat,sat,sat,sat,unsat,3.57,3.52,0.02,3.45,3.58,3.5,0.02,0.02,0.02,3.58
s_split_19.smt2,,,5.0,,,,5.0,5.0,5.0,,timeout,timeout,unsat,timeout,timeout,timeout,unsat,unsat,unsat,timeout,299.98,299.99,0.06,299.98,299.99,299.98,0.07,0.06,0.06,299.99
s_split_20.smt2,3.0,23.0,3.0,23.0,,,3.0,3.0,3.0,3.0,sat,unsat,sat,unsat,timeout,timeout,sat,sat,sat,sat,0.06,1.37,0.06,1.4,299.99,299.98,0.06,0.05,0.05,0.04
s_split_21.smt2,7.0,12.0,3.0,12.0,7.0,7.0,300.0,3.0,300.0,7.0,unsat,unsat,unsat,unsat,unsat,unsat,,unsat,,unsat,0.26,8.62,0.1,8.71,0.23,0.28,4.55,0.07,4.55,0.22
s_split_22.smt2,,,,,,,2.0,,2.0,,timeout,timeout,timeout,timeout,timeout,timeout,sat,timeout,sat,timeout,299.98,299.99,299.98,299.98,299.99,299.98,0.02,299.99,0.02,299.99
